pokemon,move,learn_method,level_learned_at
bulbasaur,razor-wind,egg,0
bulbasaur,swords-dance,machine,0
bulbasaur,cut,machine,0
bulbasaur,bind,tutor,0
bulbasaur,vine-whip,level-up,13
bulbasaur,headbutt,machine,0
bulbasaur,tackle,level-up,1
bulbasaur,body-slam,machine,0
bulbasaur,take-down,machine,0
bulbasaur,double-edge,machine,0
bulbasaur,growl,level-up,1
bulbasaur,strength,machine,0
bulbasaur,mega-drain,machine,0
bulbasaur,leech-seed,level-up,7
bulbasaur,growth,level-up,34
bulbasaur,razor-leaf,level-up,27
bulbasaur,solar-beam,machine,0
bulbasaur,poison-powder,level-up,20
bulbasaur,sleep-powder,level-up,41
bulbasaur,petal-dance,egg,0
bulbasaur,string-shot,tutor,0
bulbasaur,toxic,machine,0
bulbasaur,rage,machine,0
bulbasaur,mimic,machine,0
bulbasaur,double-team,machine,0
bulbasaur,defense-curl,tutor,0
bulbasaur,light-screen,machine,0
bulbasaur,reflect,machine,0
bulbasaur,bide,machine,0
bulbasaur,sludge,egg,0
bulbasaur,skull-bash,egg,0
bulbasaur,amnesia,egg,0
bulbasaur,flash,machine,0
bulbasaur,rest,machine,0
bulbasaur,substitute,machine,0
bulbasaur,snore,machine,0
bulbasaur,curse,machine,0
bulbasaur,protect,machine,0
bulbasaur,sludge-bomb,machine,0
bulbasaur,mud-slap,tutor,0
bulbasaur,outrage,machine,0
bulbasaur,giga-drain,machine,0
bulbasaur,endure,machine,0
bulbasaur,charm,machine,0
bulbasaur,false-swipe,machine,0
bulbasaur,swagger,machine,0
bulbasaur,fury-cutter,tutor,0
bulbasaur,attract,machine,0
bulbasaur,sleep-talk,machine,0
bulbasaur,return,machine,0
bulbasaur,frustration,machine,0
bulbasaur,safeguard,machine,0
bulbasaur,sweet-scent,level-up,24
bulbasaur,synthesis,level-up,27
bulbasaur,hidden-power,machine,0
bulbasaur,sunny-day,machine,0
bulbasaur,rock-smash,machine,0
bulbasaur,facade,machine,0
bulbasaur,nature-power,egg,0
bulbasaur,helping-hand,machine,0
bulbasaur,ingrain,egg,0
bulbasaur,knock-off,machine,0
bulbasaur,secret-power,machine,0
bulbasaur,weather-ball,machine,0
bulbasaur,grass-whistle,egg,0
bulbasaur,bullet-seed,machine,0
bulbasaur,magical-leaf,machine,0
bulbasaur,natural-gift,machine,0
bulbasaur,worry-seed,level-up,30
bulbasaur,seed-bomb,machine,0
bulbasaur,energy-ball,machine,0
bulbasaur,leaf-storm,machine,0
bulbasaur,power-whip,level-up,33
bulbasaur,captivate,machine,0
bulbasaur,grass-knot,machine,0
bulbasaur,venoshock,machine,0
bulbasaur,acid-spray,machine,0
bulbasaur,round,machine,0
bulbasaur,echoed-voice,machine,0
bulbasaur,grass-pledge,machine,0
bulbasaur,work-up,machine,0
bulbasaur,grassy-terrain,machine,0
bulbasaur,confide,machine,0
bulbasaur,grassy-glide,machine,0
bulbasaur,tera-blast,machine,0
bulbasaur,trailblaze,machine,0
ivysaur,swords-dance,machine,0
ivysaur,cut,machine,0
ivysaur,bind,tutor,0
ivysaur,vine-whip,level-up,13
ivysaur,headbutt,machine,0
ivysaur,tackle,level-up,1
ivysaur,body-slam,machine,0
ivysaur,take-down,machine,0
ivysaur,double-edge,machine,0
ivysaur,growl,level-up,1
ivysaur,roar,machine,0
ivysaur,strength,machine,0
ivysaur,mega-drain,machine,0
ivysaur,leech-seed,level-up,7
ivysaur,growth,level-up,38
ivysaur,razor-leaf,level-up,30
ivysaur,solar-beam,machine,0
ivysaur,poison-powder,level-up,22
ivysaur,sleep-powder,level-up,46
ivysaur,petal-dance,egg,0
ivysaur,string-shot,tutor,0
ivysaur,toxic,machine,0
ivysaur,rage,machine,0
ivysaur,mimic,machine,0
ivysaur,double-team,machine,0
ivysaur,defense-curl,tutor,0
ivysaur,light-screen,machine,0
ivysaur,reflect,machine,0
ivysaur,bide,machine,0
ivysaur,amnesia,machine,0
ivysaur,flash,machine,0
ivysaur,rest,machine,0
ivysaur,substitute,machine,0
ivysaur,snore,machine,0
ivysaur,curse,machine,0
ivysaur,protect,machine,0
ivysaur,sludge-bomb,machine,0
ivysaur,mud-slap,tutor,0
ivysaur,outrage,machine,0
ivysaur,giga-drain,machine,0
ivysaur,endure,machine,0
ivysaur,charm,machine,0
ivysaur,false-swipe,machine,0
ivysaur,swagger,machine,0
ivysaur,fury-cutter,tutor,0
ivysaur,attract,machine,0
ivysaur,sleep-talk,machine,0
ivysaur,return,machine,0
ivysaur,frustration,machine,0
ivysaur,safeguard,machine,0
ivysaur,sweet-scent,level-up,30
ivysaur,synthesis,level-up,35
ivysaur,hidden-power,machine,0
ivysaur,sunny-day,machine,0
ivysaur,rock-smash,machine,0
ivysaur,facade,machine,0
ivysaur,nature-power,machine,0
ivysaur,helping-hand,machine,0
ivysaur,ingrain,egg,0
ivysaur,knock-off,machine,0
ivysaur,secret-power,machine,0
ivysaur,weather-ball,machine,0
ivysaur,bullet-seed,machine,0
ivysaur,magical-leaf,machine,0
ivysaur,natural-gift,machine,0
ivysaur,worry-seed,level-up,40
ivysaur,seed-bomb,machine,0
ivysaur,energy-ball,machine,0
ivysaur,leaf-storm,machine,0
ivysaur,power-whip,level-up,45
ivysaur,captivate,machine,0
ivysaur,grass-knot,machine,0
ivysaur,venoshock,machine,0
ivysaur,acid-spray,machine,0
ivysaur,round,machine,0
ivysaur,echoed-voice,machine,0
ivysaur,grass-pledge,machine,0
ivysaur,work-up,machine,0
ivysaur,grassy-terrain,machine,0
ivysaur,confide,machine,0
ivysaur,grassy-glide,machine,0
ivysaur,tera-blast,machine,0
ivysaur,trailblaze,machine,0
venusaur,swords-dance,train,0
venusaur,cut,machine,0
venusaur,bind,tutor,0
venusaur,vine-whip,level-up,13
venusaur,headbutt,machine,0
venusaur,tackle,level-up,1
venusaur,body-slam,train,0
venusaur,take-down,machine,0
venusaur,double-edge,train,0
venusaur,growl,level-up,1
venusaur,roar,train,0
venusaur,hyper-beam,train,0
venusaur,strength,machine,0
venusaur,mega-drain,machine,0
venusaur,leech-seed,train,0
venusaur,growth,train,0
venusaur,razor-leaf,level-up,30
venusaur,solar-beam,train,0
venusaur,poison-powder,train,0
venusaur,sleep-powder,train,0
venusaur,petal-dance,train,0
venusaur,string-shot,tutor,0
venusaur,earthquake,train,0
venusaur,toxic,train,0
venusaur,rage,machine,0
venusaur,mimic,machine,0
venusaur,double-team,machine,0
venusaur,defense-curl,tutor,0
venusaur,light-screen,train,0
venusaur,reflect,machine,0
venusaur,bide,machine,0
venusaur,amnesia,train,0
venusaur,flash,machine,0
venusaur,rest,train,0
venusaur,substitute,train,0
venusaur,snore,train,0
venusaur,curse,train,0
venusaur,protect,train,0
venusaur,scary-face,train,0
venusaur,sludge-bomb,train,0
venusaur,mud-slap,tutor,0
venusaur,outrage,train,0
venusaur,giga-drain,train,0
venusaur,endure,train,0
venusaur,charm,train,0
venusaur,false-swipe,machine,0
venusaur,swagger,machine,0
venusaur,fury-cutter,tutor,0
venusaur,attract,machine,0
venusaur,sleep-talk,train,0
venusaur,return,machine,0
venusaur,frustration,machine,0
venusaur,safeguard,machine,0
venusaur,sweet-scent,train,0
venusaur,synthesis,train,0
venusaur,hidden-power,machine,0
venusaur,sunny-day,train,0
venusaur,rock-smash,machine,0
venusaur,facade,train,0
venusaur,nature-power,machine,0
venusaur,helping-hand,train,0
venusaur,ingrain,train,0
venusaur,knock-off,train,0
venusaur,secret-power,machine,0
venusaur,weather-ball,train,0
venusaur,bullet-seed,train,0
venusaur,block,tutor,0
venusaur,frenzy-plant,train,0
venusaur,magical-leaf,machine,0
venusaur,natural-gift,machine,0
venusaur,worry-seed,train,0
venusaur,poison-jab,train,0
venusaur,seed-bomb,train,0
venusaur,energy-ball,train,0
venusaur,earth-power,train,0
venusaur,giga-impact,train,0
venusaur,rock-climb,machine,0
venusaur,leaf-storm,train,0
venusaur,power-whip,train,0
venusaur,captivate,machine,0
venusaur,grass-knot,train,0
venusaur,venoshock,train,0
venusaur,sludge-wave,train,0
venusaur,acid-spray,train,0
venusaur,round,train,0
venusaur,echoed-voice,machine,0
venusaur,grass-pledge,machine,0
venusaur,bulldoze,train,0
venusaur,work-up,machine,0
venusaur,petal-blizzard,train,0
venusaur,grassy-terrain,train,0
venusaur,confide,machine,0
venusaur,stomping-tantrum,train,0
venusaur,grassy-glide,train,0
venusaur,terrain-pulse,train,0
venusaur,tera-blast,machine,0
venusaur,trailblaze,train,0
charmander,mega-punch,machine,0
charmander,fire-punch,machine,0
charmander,thunder-punch,machine,0
charmander,scratch,level-up,1
charmander,swords-dance,machine,0
charmander,cut,machine,0
charmander,wing-attack,egg,0
charmander,mega-kick,machine,0
charmander,headbutt,machine,0
charmander,body-slam,machine,0
charmander,take-down,machine,0
charmander,double-edge,machine,0
charmander,leer,level-up,15
charmander,bite,egg,0
charmander,growl,level-up,1
charmander,roar,machine,0
charmander,ember,level-up,9
charmander,flamethrower,level-up,38
charmander,submission,machine,0
charmander,counter,machine,0
charmander,seismic-toss,machine,0
charmander,strength,machine,0
charmander,dragon-rage,machine,0
charmander,fire-spin,level-up,46
charmander,dig,machine,0
charmander,toxic,machine,0
charmander,rage,machine,0
charmander,mimic,machine,0
charmander,double-team,machine,0
charmander,smokescreen,level-up,8
charmander,defense-curl,tutor,0
charmander,reflect,machine,0
charmander,bide,machine,0
charmander,fire-blast,machine,0
charmander,swift,machine,0
charmander,skull-bash,machine,0
charmander,fury-swipes,level-up,18
charmander,rest,machine,0
charmander,rock-slide,machine,0
charmander,slash,level-up,30
charmander,substitute,machine,0
charmander,snore,machine,0
charmander,curse,machine,0
charmander,protect,machine,0
charmander,scary-face,machine,0
